,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
322,6/27/16,629.35,13.81,4.05,7156.0,4505383.0,,,,,,
323,6/28/16,658.1,13.93,4.14,7162.0,4512545.0,,,,,,
324,6/29/16,644.12,12.17,4.1,7165.0,4519710.0,,,,,,
325,6/30/16,640.59,12.6,4.08,,,,,,,,
326,7/1/16,672.51,12.44,4.19,,,,,,,,
327,7/2/16,676.73,12.22,4.28,7168.0,4526878.0,,,,,,
328,7/3/16,704.97,12.12,4.66,7171.0,4534049.0,,,,,,
329,7/4/16,658.8,11.7,4.27,7173.0,4541222.0,,,,,,
330,7/5/16,683.21,11.46,4.56,7175.0,4548397.0,,,,,,
331,7/6/16,670.42,10.58,4.46,,,,,,,,
332,7/7/16,678.09,10.54,4.5,7179.0,4555576.0,,,,,,
333,7/8/16,640.69,10.12,4.12,7181.0,4562757.0,,,,,,
334,7/9/16,666.38,11.42,4.24,,,,,,,,
335,7/10/16,650.6,10.96,4.12,7184.0,4569941.0,,,,,,
336,7/11/16,648.48,10.94,4.12,7189.0,4577130.0,,,,,,
337,7/12/16,648.28,10.45,4.09,7193.0,4584323.0,,,,,,
338,7/13/16,664.8,10.51,4.16,7197.0,4591520.0,,,,,,
339,7/14/16,652.92,10.6,4.14,7202.0,4598722.0,,,,,,
340,7/15/16,659.17,11.5,4.15,7207.0,4605929.0,,,,,,
341,7/16/16,663.78,11.92,4.15,7211.0,4613140.0,,,,,,
342,7/17/16,661.99,11.62,4.14,7214.0,4620354.0,,,,,,
343,7/18/16,679.81,11.17,4.2,7216.0,4627570.0,,,,,,
344,7/19/16,672.74,11.05,4.15,7218.0,4634788.0,,,,,,
345,7/20/16,672.81,11.59,4.15,7221.0,4642009.0,,,,,,
346,7/21/16,665.23,12.46,4.13,7224.0,4649233.0,,,,,,
347,7/22/16,664.92,12.66,4.13,7229.0,4656462.0,,,,,,
348,7/23/16,650.73,14.67,4.04,7231.0,4663693.0,,,,,,
349,7/24/16,655.41,14.3,4.06,7232.0,4670925.0,,,,,,
350,7/25/16,661.26,12.74,4.07,7236.0,4678161.0,,,,,,
351,7/26/16,654.23,13.82,4.04,,,,,,,,
352,7/27/16,651.63,12.05,3.96,7237.0,4685398.0,,,,,,
353,7/28/16,654.49,12.98,3.97,7241.0,4692639.0,,,,,,
354,7/29/16,655.11,12.84,3.97,7242.0,4699881.0,,,,,,
355,7/30/16,657.01,12.8,4.08,7243.0,4707124.0,,,,,,
356,7/31/16,655.1,12.44,4.08,7247.0,4714371.0,,,,,,
357,8/1/16,624.6,11.89,4.06,7252.0,4721623.0,,,,,,
358,8/2/16,606.4,10.95,3.87,7255.0,4728878.0,,,,,,
359,8/3/16,548.66,8.88,3.64,7256.0,4736134.0,,,,,,
360,8/4/16,566.33,10.31,3.71,7260.0,4743394.0,,,,,,
361,8/5/16,578.28,11.02,3.74,,,,,,,,
362,8/6/16,575.03,10.92,3.72,7265.0,4750659.0,,,,,,
363,8/7/16,587.77,10.86,3.76,7267.0,4757926.0,,,,,,
364,8/8/16,592.74,10.91,3.77,7271.0,4765197.0,,,,,,
365,8/9/16,591.04,11.27,3.78,7275.0,4772472.0,,,,,,
366,8/10/16,587.65,12.23,3.76,7276.0,4779748.0,,,,,,
367,8/11/16,592.12,12.14,3.72,7280.0,4787028.0,,,,,,
368,8/12/16,588.8,11.69,3.74,7281.0,4794309.0,,,,,,
369,8/13/16,587.36,11.77,3.71,7304.0,4801613.0,,,,,,
370,8/14/16,585.59,11.58,3.72,7305.0,4808918.0,,,,,,
371,8/15/16,570.49,11.2,3.65,7308.0,4816226.0,,,,,,
372,8/16/16,567.24,11.23,3.59,7309.0,4823535.0,,,,,,
373,8/17/16,577.76,11.13,3.65,,,,,,,,
374,8/18/16,573.71,10.75,3.6,7311.0,4830846.0,,,,,,
375,8/19/16,574.34,10.75,3.61,7312.0,4838158.0,,,,,,
376,8/20/16,576.08,10.75,3.61,7313.0,4845471.0,,,,,,
377,8/21/16,581.94,11.25,3.62,,,,,,,,
378,8/22/16,581.31,11.19,3.62,,,,,,,,
379,8/23/16,586.77,11.14,3.66,7314.0,4852785.0,,,,,,
380,8/24/16,583.41,11.02,3.93,7317.0,4860102.0,,,,,,
381,8/25/16,580.18,11.03,3.86,7319.0,4867421.0,,,,,,
382,8/26/16,577.75,11.35,3.8,7323.0,4874744.0,,,,,,
383,8/27/16,579.45,11.29,3.82,,,,,,,,
384,8/28/16,569.83,11.15,3.74,7325.0,4882069.0,,,,,,
385,8/29/16,574.07,10.92,3.74,7326.0,4889395.0,,,,,,
